construction;V2;V3
иди ляг поспи;NO;NO
иди ляг поспи;NO;YES
иди ляг поспи;NO;YES
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;YES;NO
иди ляг поспи;NO;NO
иди ляг поспи;YES;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;YES
иди ляг поспи;NO;YES
иди ляг поспи;NO;YES
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;YES
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;YES
иди ляг поспи;NO;NO
иди ляг поспи;YES;YES
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;NO
иди ляг поспи;NO;YES
иди ляг поспи;NO;NO
иди ляг поспи;YES;NO
иди ляг поспи;NO;NO
иди ляг поспи;YES;YES
иди ляг поспи;YES;NO
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;NO
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;NO
пойду открою посмотрю;NO;NO
пойду открою посмотрю;NO;NO
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;NO
пойду открою посмотрю;NO;NO
пойду открою посмотрю;NO;NO
пойду открою посмотрю;NO;NO
пойду открою посмотрю;YES;YES
пойду открою посмотрю;NO;YES
пойду открою посмотрю;NO;YES
пойду посижу почитаю;NO;YES
пойду посижу почитаю;NO;NO
пойду посижу почитаю;NO;YES
пойду посижу почитаю;YES;HYP
пойду посижу почитаю;NO;YES
пойду посижу почитаю;NO;NO
пойду посижу почитаю;NO;YES
пойду посижу почитаю;NO;YES
пойду посижу почитаю;YES;YES
пойду посижу почитаю;NO;NO
пойду посижу почитаю;NO;NO
пойду посижу послушаю;NO;NO
пойду посижу послушаю;YES;YES
пойду посижу послушаю;NO;YES
пойду посижу послушаю;NO;NO
пойду посижу послушаю;YES;YES
пойду посижу послушаю;YES;YES
пойду посижу послушаю;NO;YES
пойду посижу послушаю;YES;HYP
пойду посижу послушаю;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;YES;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;YES
иди сходи посмотри;NO;YES
иди сходи посмотри;YES;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;YES;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;YES
иди сходи посмотри;NO;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;YES
иди сходи посмотри;YES;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;YES;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;YES
иди сходи посмотри;NO;YES
иди сходи посмотри;NO;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;YES;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;YES;YES
иди сходи посмотри;NO;NO
иди сходи посмотри;NO;NO
иди сходи посмотри;YES;YES
сядь посиди подумай;YES;NO
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;NO;NO
сядь посиди подумай;NO;NO
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;NO;NO
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;HYP
сядь посиди подумай;YES;YES
сядь посиди подумай;NO;NO
сядь посиди подумай;NO;NO
сядь посиди подумай;NO;NO
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;NO
сядь посиди подумай;YES;YES
сядь посиди подумай;NO;YES
сядь посиди подумай;NO;NO
сядь посиди подумай;NO;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;NO;NO
сядь посиди подумай;YES;YES
сядь посиди подумай;NO;NO
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;NO
сядь посиди подумай;YES;YES
сядь посиди подумай;YES;YES
сядь посиди подумай;NO;NO
сядь посиди подумай;YES;YES
иди ляг полежи;YES;YES
иди ляг полежи;NO;YES
иди ляг полежи;NO;NO
иди ляг полежи;YES;YES
иди ляг полежи;NO;NO
иди ляг полежи;NO;YES
иди ляг полежи;NO;NO
иди ляг полежи;NO;YES
иди ляг полежи;YES;YES
иди ляг полежи;NO;YES
иди ляг полежи;NO;NO
иди ляг полежи;NO;NO
иди ляг полежи;NO;YES
иди ляг полежи;NO;NO
иди ляг полежи;NO;NO
иди ляг полежи;NO;NO
иди ляг полежи;YES;YES
иди ляг полежи;NO;YES
иди ляг полежи;NO;NO
иди ляг полежи;NO;NO
иди ляг полежи;NO;YES
иди ляг полежи;NO;NO
иди ляг полежи;NO;NO
иди ляг полежи;NO;YES
иди ляг полежи;NO;YES
иди ляг полежи;NO;YES
иди ляг полежи;NO;NO
иди посиди подумай;YES;YES
иди посиди подумай;YES;YES
иди посиди подумай;NO;YES
иди посиди подумай;NO;NO
иди посиди подумай;YES;YES
иди посиди подумай;NO;NO
иди посиди подумай;YES;YES
иди посиди подумай;YES;YES
иди посиди подумай;YES;NO
иди посиди подумай;NO;YES
иди посиди подумай;NO;YES
иди посиди подумай;YES;YES
иди посиди подумай;YES;YES
иди посиди подумай;NO;NO
иди посиди подумай;NO;YES
иди посиди подумай;NO;YES
иди посиди подумай;YES;YES
иди посиди подумай;NO;HYP
иди посиди подумай;NO;NO
иди посиди подумай;YES;NO
иди посиди подумай;NO;NO
иди посиди подумай;YES;HYP
иди посиди подумай;YES;YES
иди посиди подумай;NO;NO
иди посиди подумай;NO;YES
иди посиди подумай;NO;YES
иди посиди подумай;YES;NO
иди посиди подумай;NO;NO
иди посиди подумай;HYP;HYP
иди посиди подумай;NO;YES
иди посиди подумай;NO;NO
