construction,type,V2,IMP
ляг полежи,P1,NO,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,YES,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
ляг полежи,P1,NO,YES
лягу полежу,P1,YES,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,NO,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,YES,NO
лягу полежу,P1,NO,NO
сходи узнай,M2,NO,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,YES
сходи узнай,M2,NO,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,YES,YES
сходи узнай,M2,NO,YES
схожу узнаю,M2,NO,NO
схожу узнаю,M2,NO,NO
схожу узнаю,M2,YES,NO
схожу узнаю,M2,YES,NO
схожу узнаю,M2,NO,NO
схожу узнаю,M2,YES,NO
схожу узнаю,M2,YES,NO
