construction,type,V2
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг поспи,P1,YES
ляг поспи,P1,YES
ляг поспи,P1,NO
ляг поспи,P1,YES
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг поспи,P1,YES
ляг поспи,P1,YES
ляг поспи,P1,NO
ляг поспи,P1,YES
ляг поспи,P1,NO
ляг поспи,P1,YES
ляг поспи,P1,NO
ляг поспи,P1,YES
ляг поспи,P1,YES
ляг поспи,P1,YES
ляг поспи,P1,YES
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг поспи,P1,YES
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг поспи,P1,NO
ляг полежи,P1,NO
ляг полежи,P1,YES
ляг полежи,P1,YES
ляг полежи,P1,YES
ляг полежи,P1,YES
ляг полежи,P1,NO
ляг полежи,P1,NO
ляг полежи,P1,NO
ляг полежи,P1,YES
ляг полежи,P1,YES
ляг полежи,P1,YES
ляг полежи,P1,NO
ляг полежи,P1,YES
ляг полежи,P1,YES
ляг полежи,P1,YES
ляг полежи,P1,NO
ляг полежи,P1,YES
ляг полежи,P1,YES
ляг полежи,P1,NO
ляг полежи,P1,NO
ляг полежи,P1,HYP
ляг полежи,P1,NO
ляг полежи,P1,YES
ляг полежи,P1,YES
ляг полежи,P1,NO
ляг полежи,P1,NO
ляг полежи,P1,NO
ляг полежи,P1,NO
ляг полежи,P1,NO
ляг полежи,P1,HYP
открою посмотрю,M2,YES
открою посмотрю,M2,NO
открою посмотрю,M2,YES
открою посмотрю,M2,HYP
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,NO
открою посмотрю,M2,HYP
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,HYP
открою посмотрю,M2,NO
открою посмотрю,M2,NO
открою посмотрю,M2,HYP
открою посмотрю,M2,NO
открою посмотрю,M2,YES
открою посмотрю,M2,NO
открою посмотрю,M2,HYP
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,YES
открою посмотрю,M2,NO
посижу почитаю,P2,YES
посижу почитаю,P2,YES
посижу почитаю,P2,NO
посижу почитаю,P2,YES
посижу почитаю,P2,NO
посижу почитаю,P2,YES
посижу почитаю,P2,YES
посижу почитаю,P2,NO
посижу почитаю,P2,NO
посижу почитаю,P2,NO
посижу почитаю,P2,YES
посижу почитаю,P2,YES
посижу почитаю,P2,HYP
посижу почитаю,P2,NO
посижу почитаю,P2,NO
посижу почитаю,P2,NO
посижу почитаю,P2,YES
посижу почитаю,P2,YES
посижу почитаю,P2,YES
посижу почитаю,P2,YES
посижу почитаю,P2,NO
посижу почитаю,P2,YES
посижу почитаю,P2,NO
посижу почитаю,P2,YES
посижу почитаю,P2,NO
посижу почитаю,P2,HYP
посижу почитаю,P2,YES
посижу почитаю,P2,YES
посижу почитаю,P2,NO
посижу почитаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,NO
посижу послушаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,NO
посижу послушаю,P2,YES
посижу послушаю,P2,NO
посижу послушаю,P2,NO
посижу послушаю,P2,YES
посижу послушаю,P2,NO
посижу послушаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,NO
посижу послушаю,P2,NO
посижу послушаю,P2,NO
посижу послушаю,P2,NO
посижу послушаю,P2,NO
посижу послушаю,P2,YES
посижу послушаю,P2,NO
посижу послушаю,P2,YES
посижу послушаю,P2,NO
посижу послушаю,P2,YES
посижу послушаю,P2,YES
посижу послушаю,P2,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,YES
иди посиди,M1,YES
иди посиди,M1,NO
иди посиди,M1,YES
иди посиди,M1,YES
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,YES
иди посиди,M1,NO
иди посиди,M1,YES
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,YES
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,YES
иди посиди,M1,NO
иди посиди,M1,NO
иди посиди,M1,NO
посиди подумай,P2,YES
посиди подумай,P2,YES
посиди подумай,P2,NO
посиди подумай,P2,HYP
посиди подумай,P2,YES
посиди подумай,P2,YES
посиди подумай,P2,YES
посиди подумай,P2,NO
посиди подумай,P2,YES
посиди подумай,P2,HYP
посиди подумай,P2,YES
посиди подумай,P2,NO
посиди подумай,P2,NO
посиди подумай,P2,YES
посиди подумай,P2,YES
посиди подумай,P2,HYP
посиди подумай,P2,YES
посиди подумай,P2,YES
посиди подумай,P2,YES
посиди подумай,P2,HYP
посиди подумай,P2,NO
посиди подумай,P2,YES
посиди подумай,P2,YES
посиди подумай,P2,YES
посиди подумай,P2,HYP
посиди подумай,P2,YES
посиди подумай,P2,NO
посиди подумай,P2,YES
посиди подумай,P2,NO
посиди подумай,P2,YES
сходи узнай,M2,NO
сходи узнай,M2,YES
сходи узнай,M2,NO
сходи узнай,M2,HYP
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,NO
сходи узнай,M2,NO
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,NO
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,NO
сходи узнай,M2,YES
сходи узнай,M2,NO
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,YES
сходи узнай,M2,NO
схожу узнаю,M2,NO
схожу узнаю,M2,NO
схожу узнаю,M2,YES
схожу узнаю,M2,YES
схожу узнаю,M2,NO
схожу узнаю,M2,YES
схожу узнаю,M2,YES
схожу узнаю,M2,YES
схожу узнаю,M2,YES
схожу узнаю,M2,YES
схожу узнаю,M2,YES
схожу узнаю,M2,NO
схожу узнаю,M2,YES
схожу узнаю,M2,YES
схожу узнаю,M2,NO
схожу узнаю,M2,YES
схожу узнаю,M2,NO
схожу узнаю,M2,NO
схожу узнаю,M2,YES
схожу узнаю,M2,NO
схожу узнаю,M2,NO
схожу узнаю,M2,NO
схожу узнаю,M2,YES
схожу узнаю,M2,YES
схожу узнаю,M2,NO
схожу узнаю,M2,NO
схожу узнаю,M2,NO
схожу узнаю,M2,NO
схожу узнаю,M2,NO
схожу узнаю,M2,YES
схожу спрошу,M2,NO
схожу спрошу,M2,NO
схожу спрошу,M2,NO
схожу спрошу,M2,YES
схожу спрошу,M2,NO
схожу спрошу,M2,YES
схожу спрошу,M2,NO
схожу спрошу,M2,YES
схожу спрошу,M2,YES
схожу спрошу,M2,YES
схожу спрошу,M2,NO
схожу спрошу,M2,YES
схожу спрошу,M2,YES
схожу спрошу,M2,NO
