construction;type;V2
ляг поспи;P1;NO
ляг поспи;P1;YES
ляг поспи;P1;YES
ляг полежи;P1;YES
посижу почитаю;P1;NO
посижу почитаю;P1;YES
посижу почитаю;P1;YES
посижу послушаю;P1;YES
посижу послушаю;P1;YES
посижу послушаю;P1;YES
посижу послушаю;P1;YES
иди посиди;M2;NO
иди посиди;M2;NO
иди посиди;M2;NO
иди посиди;M2;NO
иди посиди;M2;NO
иди посиди;M2;YES
посиди подумай;P1;NO
посиди подумай;P1;YES
посиди подумай;P1;YES
посиди подумай;P1;YES
сходи узнай;M1;YES
сходи узнай;M1;YES
сходи узнай;M1;YES
схожу узнаю;M1;NO
схожу узнаю;M1;NO
схожу узнаю;M1;NO
схожу узнаю;M1;YES
схожу спрошу;M1;NO
схожу спрошу;M1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;YES
иди ляг;M2;YES
иди ляг;M2;YES
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;YES
пойду посижу;M2;YES
пойду посижу;M2;NO
пойду посижу;M2;NO
иди сходи;M2;YES
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
пойду схожу;M2;YES
пойду схожу;M2;YES
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойди сходи;M2;NO
пойди сходи;M2;YES
пойди сходи;M2;NO
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
